Resolution,Resampling,Predictor,Metric,AvePerf,SDPerf
100kb,RUS,Distance,Accuracy,0.607,0.056
100kb,RUS,Distance,Precision,0.207,0.037
100kb,RUS,Distance,MCC,0.221,0.068
100kb,RUS,Distance,F1,0.322,0.047
100kb,RUS,Distance,AUC,0.721,0.058
100kb,RUS,Distance,AUPRC,0.278,0.082
100kb,SMOTE,OC,Sensitivity,0.374,0.108
100kb,SMOTE,OC,Specificity,0.788,0.047
100kb,SMOTE,OC,Accuracy,0.735,0.032
100kb,SMOTE,OC,Precision,0.2,0.044
100kb,SMOTE,OC,MCC,0.125,0.06
100kb,SMOTE,OC,F1,0.255,0.051
100kb,SMOTE,OC,AUC,0.636,0.039
100kb,SMOTE,OC,AUPRC,0.192,0.035
100kb,SMOTE,OP,Sensitivity,0.395,0.108
100kb,SMOTE,OP,Specificity,0.757,0.049
100kb,SMOTE,OP,Accuracy,0.711,0.039
100kb,SMOTE,OP,Precision,0.187,0.043
100kb,SMOTE,OP,MCC,0.113,0.069
100kb,SMOTE,OP,F1,0.25,0.057
100kb,SMOTE,OP,AUC,0.628,0.044
100kb,SMOTE,OP,AUPRC,0.192,0.036
100kb,SMOTE,Distance,Sensitivity,0.576,0.12
100kb,SMOTE,Distance,Specificity,0.754,0.047
100kb,SMOTE,Distance,Accuracy,0.731,0.037
100kb,SMOTE,Distance,Precision,0.251,0.05
100kb,SMOTE,Distance,MCC,0.241,0.076
100kb,SMOTE,Distance,F1,0.346,0.061
100kb,SMOTE,Distance,AUC,0.748,0.049
100kb,SMOTE,Distance,AUPRC,0.303,0.08
