"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"352","GM12878","50 kb","ROS","OC","Precision",0.206
"353","GM12878","50 kb","ROS","OC","FPR",0.046
"354","GM12878","50 kb","ROS","OC","FNR",0.143
"355","GM12878","50 kb","ROS","OC","FOR",0.143
"356","GM12878","50 kb","ROS","OC","NPV",0.857
"357","GM12878","50 kb","ROS","OC","MCC",0.039
"358","GM12878","50 kb","ROS","OC","F1",0.105
"359","GM12878","50 kb","ROS","OC","AUC",0.591
"360","GM12878","50 kb","ROS","OC","Youden",0.024
"361","GM12878","50 kb","ROS","OC","AUPRC",0.179
"362","GM12878","50 kb","ROS","OP","TN",1128
"363","GM12878","50 kb","ROS","OP","FN",192
"364","GM12878","50 kb","ROS","OP","FP",36
"365","GM12878","50 kb","ROS","OP","TP",7
"366","GM12878","50 kb","ROS","OP","Total",1363
"367","GM12878","50 kb","ROS","OP","Sensitivity",0.035
"368","GM12878","50 kb","ROS","OP","Specificity",0.969
"369","GM12878","50 kb","ROS","OP","Kappa",0.006
"370","GM12878","50 kb","ROS","OP","Accuracy",0.833
"371","GM12878","50 kb","ROS","OP","Precision",0.163
"372","GM12878","50 kb","ROS","OP","FPR",0.031
"373","GM12878","50 kb","ROS","OP","FNR",0.145
"374","GM12878","50 kb","ROS","OP","FOR",0.145
"375","GM12878","50 kb","ROS","OP","NPV",0.855
"376","GM12878","50 kb","ROS","OP","MCC",0.009
"377","GM12878","50 kb","ROS","OP","F1",0.058
"378","GM12878","50 kb","ROS","OP","AUC",0.608
"379","GM12878","50 kb","ROS","OP","Youden",0.004
"380","GM12878","50 kb","ROS","OP","AUPRC",0.187
"381","GM12878","50 kb","ROS","Distance","TN",1148
"382","GM12878","50 kb","ROS","Distance","FN",178
"383","GM12878","50 kb","ROS","Distance","FP",16
"384","GM12878","50 kb","ROS","Distance","TP",21
"385","GM12878","50 kb","ROS","Distance","Total",1363
"386","GM12878","50 kb","ROS","Distance","Sensitivity",0.106
"387","GM12878","50 kb","ROS","Distance","Specificity",0.986
"388","GM12878","50 kb","ROS","Distance","Kappa",0.139
"389","GM12878","50 kb","ROS","Distance","Accuracy",0.858
"390","GM12878","50 kb","ROS","Distance","Precision",0.568
"391","GM12878","50 kb","ROS","Distance","FPR",0.014
"392","GM12878","50 kb","ROS","Distance","FNR",0.134
"393","GM12878","50 kb","ROS","Distance","FOR",0.134
"394","GM12878","50 kb","ROS","Distance","NPV",0.866
"395","GM12878","50 kb","ROS","Distance","MCC",0.199
"396","GM12878","50 kb","ROS","Distance","F1",0.178
"397","GM12878","50 kb","ROS","Distance","AUC",0.812
"398","GM12878","50 kb","ROS","Distance","Youden",0.092
"399","GM12878","50 kb","ROS","Distance","AUPRC",0.447
"400","GM12878","100 kb","ROS","OC","TN",579
"401","GM12878","100 kb","ROS","OC","FN",86
"402","GM12878","100 kb","ROS","OC","FP",17
"403","GM12878","100 kb","ROS","OC","TP",2
"404","GM12878","100 kb","ROS","OC","Total",684
"405","GM12878","100 kb","ROS","OC","Sensitivity",0.023
"406","GM12878","100 kb","ROS","OC","Specificity",0.971
"407","GM12878","100 kb","ROS","OC","Kappa",-0.009
"408","GM12878","100 kb","ROS","OC","Accuracy",0.849
"409","GM12878","100 kb","ROS","OC","Precision",0.105
"410","GM12878","100 kb","ROS","OC","FPR",0.029
"411","GM12878","100 kb","ROS","OC","FNR",0.129
"412","GM12878","100 kb","ROS","OC","FOR",0.129
"413","GM12878","100 kb","ROS","OC","NPV",0.871
"414","GM12878","100 kb","ROS","OC","MCC",-0.012
"415","GM12878","100 kb","ROS","OC","F1",0.037
"416","GM12878","100 kb","ROS","OC","AUC",0.569
"417","GM12878","100 kb","ROS","OC","Youden",-0.006
"418","GM12878","100 kb","ROS","OC","AUPRC",0.148
"419","GM12878","100 kb","ROS","OP","TN",583
"420","GM12878","100 kb","ROS","OP","FN",87
"421","GM12878","100 kb","ROS","OP","FP",13
"422","GM12878","100 kb","ROS","OP","TP",1
"423","GM12878","100 kb","ROS","OP","Total",684
"424","GM12878","100 kb","ROS","OP","Sensitivity",0.011
"425","GM12878","100 kb","ROS","OP","Specificity",0.978
"426","GM12878","100 kb","ROS","OP","Kappa",-0.016
"427","GM12878","100 kb","ROS","OP","Accuracy",0.854
"428","GM12878","100 kb","ROS","OP","Precision",0.071
"429","GM12878","100 kb","ROS","OP","FPR",0.022
"430","GM12878","100 kb","ROS","OP","FNR",0.13
"431","GM12878","100 kb","ROS","OP","FOR",0.13
"432","GM12878","100 kb","ROS","OP","NPV",0.87
"433","GM12878","100 kb","ROS","OP","MCC",-0.025
"434","GM12878","100 kb","ROS","OP","F1",0.02
"435","GM12878","100 kb","ROS","OP","AUC",0.621
"436","GM12878","100 kb","ROS","OP","Youden",-0.01
"437","GM12878","100 kb","ROS","OP","AUPRC",0.166
"438","GM12878","100 kb","ROS","Distance","TN",595
"439","GM12878","100 kb","ROS","Distance","FN",83
"440","GM12878","100 kb","ROS","Distance","FP",1
"441","GM12878","100 kb","ROS","Distance","TP",5
"442","GM12878","100 kb","ROS","Distance","Total",684
"443","GM12878","100 kb","ROS","Distance","Sensitivity",0.057
"444","GM12878","100 kb","ROS","Distance","Specificity",0.998
"445","GM12878","100 kb","ROS","Distance","Kappa",0.091
"446","GM12878","100 kb","ROS","Distance","Accuracy",0.877
"447","GM12878","100 kb","ROS","Distance","Precision",0.833
